Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
220410_RR4342129_dna_assembly.megahit_asm	161952	25167	1190	282	35	9	123859441	51904151	11009046	4897402	1486506	650797	3259	131335	18776909	5812	3971	889	1885	0.00
220410_RR4342133_dna_assembly.megahit_asm	166148	30885	2595	826	156	47	150487838	81750948	29811065	17866508	8108978	4319914	5952	266140	42526633	7945	4564	1210	3033	0.00
