contigIdx	contigIdxMate	AvgCoverage
178	178	11.813
179	179	12.3443
180	180	16.5576
180	2034	0.0119838
180	2325	0.0152227
181	181	12.6688
182	182	105.023
182	205	1.41619
182	4652	0.775658
183	183	23.0649
183	4073	0.204202
183	8729	0.2547
184	184	37.2233
184	4512	0.113088
184	6402	0.0579793
185	185	12.6976
186	120	0.0371558
186	186	19.6684
186	1211	0.0380988
186	2562	0.0373444
186	9198	0.0186722
187	187	12.2893
187	3159	0.0719733
188	188	13.6197
188	6721	0.0426908
189	189	21.5584
190	190	16.2495
191	191	20.766
191	508	0.0455172
192	192	16.1511
192	438	0.00920245
193	193	13.598
193	1947	0.0381069
194	161	0.266548
194	194	33.4816
194	197	0.0220637
194	1120	0.220415
194	6609	0.0218409
195	195	114.969
196	196	10.9995
197	161	0.0450189
197	194	0.0218409
197	197	17.2833
197	1120	0.0445732
198	198	109.161
198	824	0.880682
198	2648	0.93007
199	199	12.3541
199	5687	0.0403194
200	200	12.6889
201	201	12.494
202	202	10.7115
203	203	10.257
204	204	13.1684
205	205	36.0836
205	2788	0.11094
205	2790	0.0191884
206	206	119.29
206	4960	0.113549
206	7028	0.106822
206	7240	0.00591009
206	10361	0.0120088
207	207	14.462
207	1458	0.175187
208	208	112.722
208	4139	0.0287958
208	7654	0.350204
209	209	113.005
209	863	0.207542
209	1703	0.747031
210	210	6.92143
211	211	35.3475
211	4293	0.15776
211	7420	0.25568
212	212	16.5899
212	8352	0.156303
213	213	13.6041
213	5479	0.0490838
214	214	14.4112
214	344	0.0558882
214	6209	0.0652029
214	7914	0.0658683
215	215	11.5967
216	216	11.5688
216	239	0.129758
216	583	0.0791522
217	217	7.55485
218	218	42.1335
218	219	0.295631
218	9815	0.719928
219	218	0.241313
219	219	33.0811
220	220	100.566
220	1227	0.688008
220	3020	0.547936
221	221	19.6856
221	6773	0.0487085
222	222	10.8406
223	223	30.4687
223	3388	0.132245
223	11516	0.0823129
223	11517	0.0684354
223	11629	0.0404082
224	224	15.7083
225	225	14.096
226	226	18.4559
226	2043	0.127756
227	227	17.2798
227	5092	0.0928074
227	8059	0.0923434
228	228	11.3834
228	5217	0.0792824
229	229	11.9365
229	1137	0.0306633
230	230	11.2329
231	231	19.3776
232	232	21.7999
232	3844	0.0553807
232	4403	0.326621
232	10712	1.18313
233	233	13.4831
234	234	36.3696
234	11197	0.0119981
235	235	104.04
236	236	17.4504
237	237	17.2887
237	269	0.00763889
237	2936	0.00763889
238	238	16.5136
238	5995	0.0335114
238	10123	0.138174
239	216	0.186011
239	239	21.5391
240	240	32.7746
240	5995	0.226688
241	241	119.87
241	2650	0.0510355
241	2822	0.205251
241	6350	0.0419749
242	242	10.329
243	243	11.3498
243	1499	0.0213129
243	3224	0.139812
243	8075	0.0429099
244	244	14.3863
244	6168	0.042926
245	245	10.8977
246	246	33.0771
246	6553	0.109537
246	6949	0.26921
247	247	13.4353
247	1780	0.0352734
248	248	13.5427
249	249	12.8626
250	250	12.3205
251	251	10.9228
251	9900	0.0712687
252	252	11.4617
253	253	14.8049
253	5555	0.0916135
254	254	8.08511
255	255	109.032
255	4303	0.0996483
255	4994	0.00901795
255	9761	0.126071
256	256	10.9625
257	257	10.3032
257	3703	0.0644112
257	5329	0.324658
258	258	18.8331
259	259	17.3513
259	2095	0.0242997
260	260	37.7429
260	4723	0.0955323
260	6485	0.901141
261	261	10.9981
261	474	0.175899
262	262	26.98
262	9728	0.0588084
262	11356	0.179764
263	263	15.4977
263	4327	0.0269118
263	9698	0.0538236
263	10551	0.106581
264	264	16.9824
264	11228	0.236673
265	265	15.2143
265	9759	0.0448718
266	266	17.0173
266	7392	0.0433651
267	267	20.6108
267	5657	0.0193162
268	268	28.5189
268	4841	0.511851
269	237	0.0514519
269	269	12.8589
270	270	10.5386
271	271	22.8381
272	42	0.0943841
272	272	19.8485
273	273	17.9089
274	274	8.08882
275	275	12.6273
275	956	0.117543
275	6442	0.118724
275	11638	0.0596574
276	276	14.2339
276	2133	0.0183521
277	277	11.6019
277	9270	0.0328467
278	278	87.4035
278	1319	1.16159
279	279	32.023
279	5413	0.46604
280	280	10.8535
281	281	14.7202
282	282	7.28834
283	283	28.5633
284	284	10.1799
284	1387	0.117577
285	285	12.5732
285	8379	0.0141976
286	286	31.5901
286	525	0.268884
286	527	0.0699931
286	4019	0.136175
287	287	8.36906
288	288	25.9452
288	1629	0.264253
288	3213	0.107268
288	10873	0.0532289
289	289	18.3655
289	3792	0.391898
289	3952	0.579307
290	290	21.4038
290	610	0.188895
291	291	9.44549
292	292	11.4425
293	293	20.963
294	294	16.4646
295	295	11.0555
296	296	25.6874
296	10096	0.323755
297	297	9.97433
298	298	19.6548
298	11225	0.00533195
299	299	16.7446
299	6414	0.016728
300	104	0.00920726
300	300	31.2352
300	4927	0.0371973
301	301	11.0764
302	302	24.9826
302	3274	0.347395
302	11501	0.350868
303	303	33.3135
303	3987	0.0665658
304	304	28.6338
304	2904	0.00194175
304	4119	0.00380659
304	4630	0.00194175
304	6157	0.0132077
305	305	10.1662
306	306	26.1815
307	307	10.9413
308	308	9.77623
309	309	16.4275
309	4571	0.289502
310	310	10.8906
311	311	11.5787
311	9833	0.0341997
312	312	12.3761
312	2341	0.0505876
312	9249	0.0500766
313	313	17.4495
313	2789	0.0380845
313	5120	0.14819
313	7314	0.0750377
313	7315	0.113876
314	314	13.6991
314	1363	0.0275054
315	315	19.2363
316	316	20.06
316	2654	0.0309568
316	5217	0.0306442
317	317	33.5289
317	11420	0.539394
318	318	9.43864
319	319	15.9151
320	320	25.9165
321	321	25.5728
321	1563	0.410959
321	10669	0.152714
322	322	8.39358
323	323	10.3218
324	324	19.6852
324	11148	0.0279856
325	325	14.6595
325	4139	0.0616229
325	11138	0.09518
326	326	23.0817
326	3783	0.0714967
326	3890	0.093899
327	327	23.5633
327	1417	0.385296
328	328	24.0501
328	9555	0.129947
329	329	10.2383
330	330	21.1051
331	331	20.4111
332	332	14.6724
332	1828	0.40758
333	333	11.0645
334	334	11.0036
335	335	11.4392
336	336	13.2516
336	10128	0.159363
337	337	14.0146
337	8462	0.0151914
338	338	12.7585
338	343	0.192036
339	339	14.9847
339	10987	0.0211165
340	340	34.1697
340	6889	0.369845
340	9698	0.309693
340	11472	0.100079
341	341	24.4183
342	342	24.551
343	343	28.1091
343	3371	0.0439003
344	344	25.7874
344	2426	0.111459
344	7080	0.183373
345	345	8.37816
345	11399	0.197736
346	103	0.178883
346	346	14.6184
347	347	16.068
348	348	10.966
349	349	21.5198
350	350	10.8303
351	351	10.3115
352	128	0.338746
352	352	37.6265
352	7874	0.43561
352	8338	0.169093
353	353	27.1042
353	2140	0.012805
354	354	26.965
354	8940	0.148861
355	355	11.0967
356	356	13.1886
356	3714	0.182576
357	357	7.58551
358	358	10.056
359	359	12.8284
360	360	77.598
360	4534	0.0373483
360	5448	0.0616246
361	361	84.4221
361	973	0.660131
361	5546	0.258715
362	362	26.8044
362	600	0.221333
363	363	22.2634
364	364	28.8517
364	2364	0.0703343
364	4161	0.138928
364	7088	0.115251
365	365	8.91526
366	366	14.2783
367	367	9.63538
368	368	42.3801
368	3156	0.0810154
368	3226	0.0132325
369	369	111.572
369	3878	0.586787
370	370	13.4511
370	4716	0.133605
370	6141	0.0896739
370	9070	0.0371377
371	371	15.4489
372	372	13.4396
372	7299	0.0412371
372	7948	0.0412371
373	373	13.7142
374	374	9.12557
375	375	8.8677
376	376	17.0415
377	377	17.0523
378	378	7.79714
379	379	8.99805
380	380	9.85966
381	381	17.7857
382	382	9.89316
383	383	26.2818
383	3797	0.169188
384	384	15.8096
384	5935	0.129487
384	11399	0.191026
385	385	10.3029
386	386	72.038
386	4766	0.0314548
387	387	10.7073
387	5005	0.0265252
388	388	8.69425
389	389	11.5887
390	390	16.1084
390	616	0.252207
